name,event,place,all_american,min,max,mean,std,median,q1,q3,mean_three_recent,mean_three_best,mean_three_worst,percent_diff_recent_best,percent_diff_recent_worst,no_mark_rate,count,grade,year,school,score
SAMUEL VOELZ,800,18,0,0.8948691280984573,0.966217480816021,0.9444999780863906,0.015844709497654,0.9494692803266656,0.9383378074204948,0.9549574791916924,0.9444999780863906,0.957614542756446,0.9106662348705664,0.0137894585487357,0.0364751610713051,0.0666666666666666,30,SR,4,NOTRE DAME,0.29166666666666663
ABDULLAHI HASSAN,800,19,0,0.9214636323070058,0.9603757789973026,0.9470280138543956,0.0100327885402905,0.9484275616150336,0.9418262580191608,0.9550242557069876,0.9470280138543956,0.9582366589327146,0.9306450664261215,0.0117659716662068,0.0174502660770174,0.0,20,SO,2,WISCONSIN,0.25
CHRISTOPHER CONRAD,800,20,0,0.9064969271290604,0.9619863970930774,0.940631190598622,0.0143883251307737,0.9407751201190092,0.9288435689933384,0.9518104666546394,0.940631190598622,0.9609120521172638,0.9154075395474756,0.0213309495814311,0.0271800912787642,0.0555555555555555,36,SR,4,MISSOURI,0.20833333333333337
AMAN THORNTON,800,21,0,0.927589614589884,0.9623450461366392,0.945512850005548,0.0123744272894264,0.9454262430180386,0.937528375556161,0.9541632011828852,0.945512850005548,0.9541632011828852,0.931486974813158,0.0091071855876957,0.0149449936083448,0.25,12,JR,3,CLEMSON,0.16666666666666663
LUIS PERALTA,800,22,0,0.911136604306389,0.972863469330067,0.947537447640506,0.0135807809905645,0.9493819767582152,0.9394266636478896,0.9573481934491708,0.947537447640506,0.9607332278775472,0.9239833833803052,0.0138300927707322,0.0251710415078345,0.0,24,SO,2,OREGON,0.125
SAM VAN DORPE,800,23,0,0.8599866733300017,0.9606438407145516,0.9323135189821656,0.0186566732248804,0.9365939980201504,0.9219984874531166,0.9430335757361276,0.9323135189821656,0.950824201123492,0.8930841205363235,0.0196594034984204,0.0429817565187498,0.0303030303030303,33,SR,4,USC,0.08333333333333337
CEBASTIAN GENTIL,800,24,0,0.8721912485217098,0.9652238945498738,0.9346986675866136,0.0258461446656538,0.9361682836159216,0.9273396802586672,0.953810623556582,0.9346986675866136,0.9559300064808814,0.8980587610172922,0.0224595545233014,0.0399833671357496,0.1333333333333333,15,JR,3,IOWA STATE,0.04166666666666663
JOE WASKOM,1500,1,1,0.9465479828174128,0.9739804055593532,0.9573753336012828,0.0104978136422856,0.9579598422373612,0.9475130774004789,0.9644436422705532,0.9573753336012828,0.9644436422705532,0.9469116044763274,0.0073558527187127,0.0109896559344346,0.1818181818181818,11,SO,2,WASHINGTON,1.0
MARIO GARCIA ROMO,1500,2,1,0.8924425887265136,0.9853856438154074,0.9549111679875232,0.0264469314760562,0.9624893051740444,0.9396979334862244,0.9754480561630972,0.9549111679875232,0.982306172158647,0.9105321285196588,0.0282828401371389,0.0475801537907465,0.0,19,JR,3,OLE MISS,0.9583333333333334
SAM ELLIS,1500,3,1,0.8679444489563877,0.9822610294117649,0.9348943091337742,0.0305859567130633,0.9398172830995912,0.9229210641319568,0.9487485710944196,0.9348943091337742,0.9657945867787266,0.8867556405691269,0.0325148189284469,0.0528517222230301,0.0,16,SR,4,PRINCETON,0.9166666666666666
THOMAS VANOPPEN,1500,4,1,0.9456266867230014,0.9820353779002988,0.9620721178621828,0.0144320324929746,0.963752186527721,0.9475242233168616,0.9709822490588192,0.9620721178621828,0.9683323517419472,0.9465909663967804,0.0064859297399451,0.0162219844802134,0.0,8,SR,4,WAKE FOREST,0.875
LUKE HOUSER,1500,5,1,0.9163165566320844,0.9826674635648937,0.95718590069419,0.0207637184876391,0.961493477282951,0.9457315784330286,0.9714606802292088,0.95718590069419,0.9733151183970856,0.9308431693026474,0.0167098774291123,0.0279050061359347,0.0,11,SO,2,WASHINGTON,0.8333333333333334
JONATHAN DAVIS,1500,6,1,0.918127147766323,0.9856582891399586,0.9504693293946272,0.0206843553918275,0.9500207524372036,0.9354272523490624,0.9629289386813038,0.9504693293946272,0.9722083238571754,0.92177731603814,0.0226132492108402,0.0306498221550878,0.0,16,SR,4,ILLINOIS,0.7916666666666666
NATHAN GREEN,1500,7,1,0.9446654291523028,0.982893405683804,0.9636927045518152,0.0139927926521212,0.9655328183584044,0.9533515051695536,0.9730271341645448,0.9636927045518152,0.9728720983158854,0.9504561464971366,0.0094800791075796,0.0138302285607779,0.0,7,FR,1,WASHINGTON,0.75
ADAM SPENCER,1500,8,1,0.9195886933700468,0.9831646734130636,0.9558288008107876,0.0257112131624202,0.95685229090643,0.939347587300406,0.9798638712144662,0.9558288008107876,0.9793804985337244,0.9296888878233206,0.0243402072643141,0.0277270408493521,0.0,8,FR,1,WISCONSIN,0.7083333333333333
JOHN PETRUNO,1500,9,0,0.8886209620421569,0.973137861955928,0.943891864139952,0.0239266449976923,0.95381320005355,0.9260146329011284,0.9612906603848356,0.943891864139952,0.9696502290976728,0.9053847186478736,0.0269221827403218,0.0416456314328364,0.0,19,SR,4,MICHIGAN STATE,0.6666666666666667
ISAAC BASTEN,1500,10,0,0.8986335926003785,0.9756253423406976,0.9517834735023428,0.0230677624911679,0.9578310553439392,0.9412159545642582,0.9722981348848596,0.9517834735023428,0.9739804055593532,0.91622984551544,0.0230525998522991,0.0380657114432108,0.0,15,SR,4,DRAKE,0.625
GEORGE KUSCHE,1500,11,0,0.9286986747773192,0.9835718558740968,0.9548494206478636,0.016590737440386,0.9517747307402422,0.9417833452815008,0.9671392513347704,0.9548494206478636,0.9745132904755393,0.9333909498950592,0.0203837979393993,0.0227285372006263,0.0588235294117647,17,SR,4,NORTHERN ARIZONA,0.5833333333333333
RYAN SCHOPPE,1500,12,0,0.9387737174982432,0.9830290208342916,0.9648799033393176,0.0146897645647964,0.9646944897667156,0.9572198193371048,0.9748362339644996,0.9648799033393176,0.9728720983158854,0.951006829040197,0.0082489348169847,0.0144821445492139,0.1111111111111111,9,SO,2,OKLAHOMA STATE,0.5416666666666667
NEHEMIA TOO,1500,13,0,0.8624808328625616,0.9753137120693588,0.9335074709297376,0.0341502252796362,0.9418161481018744,0.9275216263187276,0.9501073138341496,0.9335074709297376,0.971501295395664,0.8732834075055789,0.0398883460669981,0.0666641216124721,0.0588235294117647,17,SR,4,IOWA STATE,0.5
NATHAN HENDERSON,1500,14,0,0.8980294945590522,0.9712805598473144,0.9357485071865336,0.02480626368674,0.9333871862954036,0.9150914859927533,0.9612995261130144,0.9357485071865338,0.9626627032383012,0.905824566578196,0.0283544428140459,0.0324982386359118,0.0,12,JR,3,SYRACUSE,0.45833333333333337
JACOB BRUECKMAN,1500,15,0,0.8804217984100177,0.9758035062089117,0.9301666590474832,0.0309360289152882,0.9256859488766088,0.9065251834827616,0.9592615597963045,0.9301666590474832,0.968069206032882,0.8874809445973414,0.0399344967426311,0.0469680859640193,0.0,20,SR,4,COLORADO ST.,0.41666666666666663
AJ ERNST,1500,16,0,0.936060261014277,0.9759817351598172,0.9561406523843357,0.0134679611365898,0.956245526127416,0.9457103667979294,0.9669743032935216,0.9561406523843357,0.9713246989320607,0.9402715421387589,0.0157554547347426,0.0167359293421624,0.0,13,SR,4,PROVIDENCE,0.375
RHYS HAMMOND,1500,17,0,0.9194304641459112,0.9655764365739068,0.9519397410627606,0.0160919465580627,0.9550918271593906,0.948425520605007,0.9633142091750504,0.9519397410627606,0.9624893051740444,0.9387605017853085,0.0110211074492637,0.0139411197806793,0.0,7,JR,3,CORNELL,0.33333333333333337
JESSE HUNT,1500,18,0,0.8696041336099923,0.9738916480612384,0.9418196795609896,0.0318679715671765,0.9523682217172392,0.935241095650652,0.9591635253993898,0.9418196795609896,0.9701783850029504,0.8806712631320076,0.0296639478538681,0.0671042198307184,0.0555555555555555,18,SR,4,NORTH CAROLINA,0.29166666666666663
CATHAL DOYLE,1500,19,0,0.9455430214554302,0.9802338913093328,0.9602947636398006,0.0116636777963083,0.9597668813193928,0.9485012556908976,0.9697723477484136,0.9602947636398008,0.971589617709896,0.9471785853303633,0.0116930952795467,0.0137524105555854,0.0769230769230769,13,SR,4,PORTLAND,0.25
ELIUD KIPSANG,1500,20,0,0.956802005461301,1.0,0.9777619309571476,0.0131030735784204,0.9800767616225998,0.9709746138532948,0.9861484333156416,0.9777619309571476,0.9895370370370372,0.9581199608823192,0.0119708354159256,0.0202925293713705,0.0,14,SO,2,ALABAMA,0.20833333333333337
ELLIOTT COOK,1500,21,0,0.9404259063709962,0.9763383884524028,0.9606582691350952,0.0122176922805041,0.9661438322108216,0.9532187702893338,0.9676311081663892,0.9606582691350952,0.967236854013938,0.9489544823165548,0.0068246294104393,0.0122577593908959,0.3,10,SO,2,OREGON,0.16666666666666663
SEAN PETERSON,1500,22,0,0.8219504691585909,0.9718988723172062,0.9202351328784036,0.0355097015531515,0.922131742533742,0.898369275884213,0.944877701786934,0.9202351328784036,0.9586042965421356,0.8631646441759763,0.0408434729045108,0.0640019018020624,0.0,20,SR,4,YOUNGSTOWN ST.,0.125
NICK DAHL,1500,23,0,0.9368808626282108,0.9755362848014606,0.9597769755092632,0.0132685615688655,0.9581745640381945,0.9542211632602796,0.9697023952882092,0.9597769755092632,0.9668868180584456,0.94844106304959,0.0073804703995777,0.0118811500893625,0.0,7,SR,4,DUKE,0.08333333333333337
ANASS ESSAYI,1500,24,0,0.963617510481944,0.9758480573437428,0.97147123037174,0.0056949612010851,0.9732096768306362,0.969100071269982,0.975580835932394,0.9714712303717398,0.9709275915326612,0.9700122880477388,0.0005597602644194,0.0015029149721432,0.2,5,FR,1,SOUTH CAROLINA,0.04166666666666663
OLIN HACKER,5000,1,1,0.8745537253506246,0.983711562038682,0.9390172645991572,0.0316015897409132,0.946320085500197,0.9269592082302966,0.959435401617866,0.9390172645991572,0.9624244204548236,0.8908504405135419,0.0246204298976458,0.0526451436363796,0.0666666666666666,15,SR,4,WISCONSIN,1.0
MORGAN BEADLESCOMB,5000,2,1,0.8978613106180847,0.9864017261277536,0.9501291324228808,0.024083756514161,0.9560702778284396,0.9334061394553786,0.9689710412815774,0.9501291324228808,0.9727108538063782,0.9114547703697576,0.023487884114352,0.0415499532361727,0.0,17,SR,4,MICHIGAN STATE,0.9583333333333334
NICO YOUNG,5000,3,1,0.9242776876601548,0.9937065588272463,0.9592160955206211,0.0259570396511336,0.9715210595895574,0.9317581258665024,0.977693780618208,0.9592160955206211,0.977693780618208,0.9272172522783844,0.0190795507062224,0.0339252306789121,0.0,9,SO,2,NORTHERN ARIZONA,0.9166666666666666
KY ROBINSON,5000,4,1,0.888286395318625,0.9826911781246488,0.9586215666361771,0.0310152796104289,0.966586752195236,0.9564632623122002,0.979021513180084,0.958621566636177,0.9784845882953176,0.9313303248148652,0.0205079330408125,0.0288803561029889,0.1111111111111111,9,SO,2,STANFORD,0.875
SAM GILMAN,5000,5,1,0.9243646110079232,0.9765887949128756,0.9543722807820914,0.0173235244428577,0.955207380331341,0.9440931325844764,0.9676014657578498,0.9543722807820914,0.9668740624154638,0.9371056508269008,0.0130142411748881,0.0182572893573257,0.0,8,SR,4,AIR FORCE,0.8333333333333334
MICHAEL POWER,5000,6,1,0.8996590467037369,0.9712810504341812,0.9523280391713872,0.0351266575670816,0.9691860297738154,0.9517236499075312,0.9697904190376714,0.9523280391713872,0.9690785176421292,0.946010368750456,0.0174356420418604,0.0066560002100441,0.0,4,SR,4,TULSA,0.7916666666666666
BRIAN FAY,5000,7,1,0.9691024045157076,0.9871942951840508,0.9759143893685284,0.0070635327809941,0.9726747566210217,0.9725905402731052,0.9780099502487564,0.9759143893685284,0.9726747566210217,0.9714559004699448,0.0033251060175248,0.0045789842043377,0.1666666666666666,6,SR,4,WASHINGTON,0.75
ALEX OSTBERG,5000,8,1,0.9289511613070908,0.9688516510596352,0.9528617077662256,0.0142654525489899,0.954933797195125,0.9475583196283144,0.9620334588495308,0.9528617077662256,0.956081902631195,0.9427397939947378,0.0033737977878759,0.0106793688041339,0.0,6,SR,4,NORTH CAROLINA,0.7083333333333333
COLE SPROUT,5000,9,0,0.905815132245876,0.9775479251100226,0.9580800982466128,0.0230476259662196,0.9653900420306872,0.9535247880753271,0.9716705822701062,0.9580800982466128,0.9707774170051484,0.9370617605771258,0.0131656368167539,0.0221812816508971,0.0,8,SO,2,STANFORD,0.6666666666666667
CASEY CLINGER,5000,10,0,0.9437236711033232,0.9788256382806568,0.9677070163501784,0.0103903903579558,0.9703581212824248,0.9653309762325674,0.9723379787063028,0.9677070163501784,0.9723379787063028,0.9572539544924412,0.0047740772692641,0.0108605442043445,0.0,9,JR,3,BYU,0.625
ZACH FACIONI,5000,11,0,0.897205645759405,0.9697597553154752,0.9489367912924772,0.0216095068599042,0.9533586127168576,0.9408983285176616,0.9638999785771944,0.9489367912924772,0.964419314878638,0.9233383141448552,0.0161836299434541,0.0273447818360459,0.0,10,SR,4,WAKE FOREST,0.5833333333333333
ACER IVERSON,5000,12,0,0.9399782434580948,0.9725424231929948,0.960550678166334,0.0129484116529436,0.965983218879375,0.9562446795573392,0.9680048257438664,0.960550678166334,0.965983218879375,0.9540687139649364,0.0056397042599371,0.0067710211523368,0.1666666666666666,6,JR,3,HARVARD,0.5416666666666667
AARON BIENENFELD,5000,13,0,0.8855952246874649,0.980461103006272,0.9436967929724328,0.0258360242074282,0.9500933697882245,0.924442834725701,0.9661027901051678,0.9436967929724328,0.9687919669808416,0.902077035374735,0.0262434734612733,0.0450973537044536,0.0,20,SR,4,OREGON,0.5
AHMED MUHUMED,5000,14,0,0.9141236238505448,0.9754500006202628,0.95201128168446,0.0191295147327986,0.9537856917590548,0.9460626842326896,0.963155316021558,0.95201128168446,0.963155316021558,0.9324992731497246,0.0116376657262573,0.0207077731506282,0.1,10,SR,4,FLORIDA STATE,0.45833333333333337
AMON KEMBOI,5000,15,0,0.8789528397849342,0.9750508407321066,0.9462830846069132,0.0227739607507896,0.951454431053676,0.9401580640147305,0.961882859519499,0.9462830846069132,0.9664224964357702,0.9021215262458596,0.0210585591723721,0.0477834323738019,0.0,21,SR,4,ARKANSAS,0.41666666666666663
ADRIAAN WILDSCHUTT,5000,16,0,0.8809123703255585,0.9962245027239328,0.9530947883501604,0.0323525606461175,0.9610662613346082,0.9366941557842582,0.971983412314162,0.9530947883501604,0.9731321856861752,0.9026811494960166,0.0208048143921762,0.0543316009503325,0.0,14,SR,4,FLORIDA STATE,0.375
DYLAN JACOBS,5000,17,0,0.949031440468288,0.9902775678807114,0.9668629210813352,0.012865807134336,0.9619652316462975,0.9598515643119592,0.976006950909204,0.9668629210813352,0.976006950909204,0.9548566075472148,0.0094129102105025,0.0124953858825473,0.0,9,SR,4,TENNESSEE,0.33333333333333337
VINCENT MAURI,5000,18,0,0.8857149293743947,0.9599453078265966,0.9318696130868884,0.0306354191891628,0.9405184915178456,0.9119362094984368,0.956713379973972,0.9318696130868884,0.9524917024008528,0.9068866874874008,0.0218876169283138,0.0271737212720193,0.25,8,JR,3,ARIZONA STATE,0.29166666666666663
ATHANAS KIOKO,5000,19,0,0.9353380596659848,0.9909889472821908,0.9554997367197988,0.0165111374960872,0.9507703786307408,0.9440585216337456,0.9636378113835862,0.9554997367197988,0.9726747566210217,0.9391011470015608,0.0178147983603547,0.0173108646355405,0.0,12,SR,4,CAMPBELL,0.25
ERIC VAN DER ELS,5000,20,0,0.8527954015508922,0.9632969079237518,0.9249767921457714,0.0363866161505034,0.9385645567504984,0.9002719608805723,0.9487854562153296,0.9249767921457714,0.949237659499982,0.873678788465591,0.0258891049878598,0.0570403853112826,0.0,11,SR,4,CONNECTICUT,0.20833333333333337
RYAN FORD,5000,21,0,0.839619015077094,0.9650584813264768,0.8954144923209136,0.041417972443332,0.8964691664861537,0.8629710158184476,0.9256973524848248,0.8954144923209135,0.9473392527980916,0.8448417748164561,0.0563556151924411,0.0581210002911202,0.0,15,SR,4,IOWA STATE,0.16666666666666663
MATTHEW PEREIRA,5000,22,0,0.8692460756135308,0.9601094030452144,0.933340948532009,0.0312070077114514,0.9447781996443504,0.9304361243497564,0.9491903563607272,0.933340948532009,0.9471794933567824,0.910039441437681,0.0147177818613596,0.025281279133832,0.0,7,JR,3,HARVARD,0.125
COLE BULLOCK,5000,23,0,0.9344488282549792,0.9595587338003077,0.9469290203081032,0.0087274932375363,0.9462334536702768,0.9415089278509295,0.9526221353646498,0.9469290203081032,0.949650366541467,0.939155561318946,0.0028697414431822,0.0082429590537782,0.125,8,SR,4,OLE MISS,0.08333333333333337
DAN SCHAFFER,5000,24,0,0.8776382610636755,0.963355916837166,0.9276883049615814,0.0263559907631647,0.9326975541479848,0.9024882930860344,0.945198398865262,0.9276883049615812,0.95288414929714,0.8915335285870963,0.0267959304396919,0.0397475180956457,0.0,13,SR,4,BINGHAMTON,0.04166666666666663
DYLAN JACOBS,10000,1,1,0.9450273325518506,0.9682212207332008,0.958510366773691,0.0120482828731269,0.9622825470360216,0.953654939793936,0.9652518838846113,0.958510366773691,0.9450273325518506,0.958510366773691,0.0141662907192409,0.0,0.0,3,SR,4,TENNESSEE,1.0
ALEX MAIER,10000,2,1,0.920591760130246,0.9620778883191152,0.945296062303498,0.0165504070407646,0.9429152094865322,0.941933506084864,0.9589619474967318,0.945296062303498,0.9429152094865322,0.9351468252338808,0.0025218076520734,0.0107945177563021,0.0,5,JR,3,OKLAHOMA STATE,0.9583333333333334
ABDIHAMID NUR,10000,3,1,0.9282160017783552,0.9794073601847564,0.958067455141903,0.0195773817582279,0.9602405335597676,0.9475304570311686,0.9728150360752936,0.9580674551419032,0.9610388843972594,0.9437393554338102,0.0030966801517313,0.0150678813730354,0.0,6,JR,3,NORTHERN ARIZONA,0.9166666666666666
COLE SPROUT,10000,4,1,0.9431500304056988,0.9795899953080448,0.9611878139942154,0.0182227152147453,0.9608234162689024,0.9519867233373006,0.9702067057884736,0.9611878139942154,0.9431500304056988,0.9611878139942154,0.0189438902782509,0.0,0.0,3,SO,2,STANFORD,0.875
ATHANAS KIOKO,10000,5,1,0.9251207180594218,0.9601323027397988,0.949881344659121,0.0166825457973665,0.9571361789186318,0.9473349725897988,0.959682550987954,0.9498813446591212,0.9547397240999244,0.9464643586322284,0.0051016756251349,0.0036037585562189,0.0,4,SR,4,CAMPBELL,0.8333333333333334
CHARLES HICKS,10000,6,1,0.9287930464142722,0.9809235254433308,0.956641107704178,0.017292750098153,0.957047529622664,0.9460096182607486,0.9663350677314436,0.9566411077041778,0.9629369016716236,0.939547936454079,0.0065595604207751,0.0180289737489614,0.0,8,SO,2,STANFORD,0.7916666666666666
ADRIAAN WILDSCHUTT,10000,7,1,0.8792952636012181,0.981881654949534,0.9476366545159228,0.0296208199374332,0.9529686457638428,0.9393201783479168,0.9589054808394376,0.9476366545159228,0.9589054808394376,0.918697231825042,0.0118212192791788,0.0310120529908158,0.0,9,SR,4,FLORIDA STATE,0.75
AARON BIENENFELD,10000,8,1,0.8801173857353632,0.9630621839794198,0.9306195577621508,0.0288296648253662,0.9429370483602,0.911716464534842,0.9545543307968254,0.9306195577621508,0.9584709102145316,0.8942603745621455,0.0294865205499779,0.0398483018591756,0.0,11,SR,4,OREGON,0.7083333333333333
BARRY KEANE,10000,9,0,0.8879685923825622,0.9604210898796888,0.9346426021319784,0.0222028152044064,0.9387516284861132,0.922792216158915,0.9514856525390702,0.9346426021319784,0.9533480078211898,0.9071772267877172,0.019815146951049,0.0298241716296114,0.0,11,SR,4,BUTLER,0.6666666666666667
AMON KEMBOI,10000,10,0,0.9372874039540706,0.968048554308541,0.948697784001008,0.0133756905909816,0.9427787394417976,0.9383621633457412,0.9570120589548904,0.948697784001008,0.9427787394417976,0.939476102247203,0.006258649775295,0.0097678310466716,0.0,5,SR,4,ARKANSAS,0.625
BRANDON GARNICA,10000,11,0,0.9421623873274476,0.9581607437044012,0.9499472873101716,0.0087818237311665,0.9497330091044188,0.9424527658377944,0.9572275305767958,0.9499472873101716,0.9425495586745768,0.947209468512095,0.007817956105227,0.0028862336121402,0.2,5,SR,4,BYU,0.5833333333333333
CASEY CLINGER,10000,12,0,0.9427132478508784,0.960109660112608,0.9530254403593558,0.0091363912994338,0.9562534131145808,0.9494833304827296,0.9581815366135944,0.9530254403593558,0.9427132478508784,0.9530254403593558,0.0108793396184925,0.0,0.0,3,JR,3,BYU,0.5416666666666667
ACER IVERSON,10000,13,0,0.9272224151772752,0.956084988463503,0.9465206149111486,0.0134540427022297,0.9513875280019082,0.9423574101821248,0.9555507327309318,0.9465206149111488,0.9474024085170748,0.943332490393697,0.0009311820966513,0.003373938967534,0.0,4,JR,3,HARVARD,0.5
PATRICK KIPROP,10000,14,0,0.9241232550221314,0.9573102268518792,0.9447060509688257,0.0150558398322894,0.948695361000646,0.9382540750367214,0.95514733693275,0.9447060509688257,0.9429643483749182,0.9405046590078078,0.0018453460885046,0.0044572120652443,0.0,4,SO,2,ARKANSAS,0.45833333333333337
JAMES MWAURA,10000,15,0,0.9275181546347716,0.974886856157659,0.9450459749897668,0.0165072188933533,0.946252769275748,0.9298889359847128,0.953097067096087,0.9450459749897668,0.9528850035985746,0.9287857146739268,0.0082606045185461,0.0173550916077829,0.1111111111111111,9,SR,4,GONZAGA,0.41666666666666663
MATTHEW CARMODY,10000,16,0,0.9451425122315018,0.9499556665188884,0.946840176661354,0.0027017189446874,0.945422351233672,0.945282431732587,0.9476890088762802,0.946840176661354,0.9451425122315018,0.9468401766613542,0.0017945876987337,2.3451117770264153e-16,0.0,3,JR,3,NOTRE DAME,0.375
KIERAN LUMB,10000,17,0,0.941606725721026,0.9627547310359506,0.951949737512349,0.0089535485372599,0.9517187466462098,0.9470257470128144,0.9566427371457444,0.951949737512349,0.9488320874434106,0.948348073004482,0.0032803870786284,0.0037906316451394,0.0,4,SR,4,WASHINGTON,0.33333333333333337
MATTHEW PEREIRA,10000,18,0,0.9267527885272024,0.9776199595382316,0.9483930714043456,0.0212233568165706,0.944599768775974,0.9401174770250752,0.9528753631552443,0.9483930714043456,0.9445723731910328,0.9386507753597167,0.0040367331841384,0.010325458055821,0.0,4,JR,3,HARVARD,0.29166666666666663
HAFTU STRINTZOS,10000,19,0,0.9383135029241452,0.9498836334365758,0.9428648616168384,0.0042702041620038,0.9417575556668604,0.9400754068806744,0.9449110624576972,0.9428648616168384,0.9427678235447362,0.9396374124303448,0.000102923621197,0.0034288927360018,0.0,6,JR,3,VILLANOVA,0.25
FEARGHAL CURTIN,10000,20,0,0.940019625952436,0.9548852781996328,0.9461512839865382,0.0077669826428939,0.943548947807546,0.941784286879991,0.9492171130035896,0.9461512839865384,0.940019625952436,0.9461512839865384,0.0065016992911854,0.0,0.0,3,JR,3,CHARLESTON SOUTHERN,0.20833333333333337
JOSHUA METHNER,10000,21,0,0.9170664954723612,0.9463618454314588,0.9342099083401748,0.0130298949208618,0.9373629346518468,0.9245009878057088,0.945757278339499,0.9342099083401748,0.9373629346518468,0.9263101393099724,0.0033693866882907,0.0084920009759422,0.0,5,SO,2,NOTRE DAME,0.16666666666666663
BOB LIKING,10000,22,0,0.9192251028736896,0.942740534907954,0.9329459803475922,0.0098675282641236,0.9349091418043626,0.9307506302516684,0.9371044919002864,0.932945980347592,0.9345924727109948,0.9296811288274716,0.0017632754610284,0.0035056415790774,0.0,4,SO,2,WISCONSIN,0.125
VICTOR KIPROP,10000,23,0,0.9273491375628534,0.960353124336565,0.9420477026023022,0.0149311825446587,0.9402442742548952,0.9314285962595664,0.950863380597631,0.9420477026023024,0.9327884158251376,0.935945895357548,0.0098774358848293,0.0064982194309747,0.0,4,SO,2,ALABAMA,0.08333333333333337
ANDREW ALEXANDER,10000,24,0,0.931087123074636,0.9554511212025204,0.9436122523108772,0.0121964878608275,0.9442985126554754,0.9376928178650558,0.949874816928998,0.9436122523108772,0.931087123074636,0.9436122523108772,0.0133622802681795,0.0,0.0,3,SR,4,NOTRE DAME,0.04166666666666663
TREY CUNNINGHAM,110H,1,1,0.9338129496402878,0.9984615384615384,0.9624237798055938,0.017636631254399,0.9565217391304348,0.9495245062179956,0.9796276634526,0.9624237798055936,0.9908396946564886,0.9390104911729082,0.0290958339439799,0.0246269765829313,0.0,35,SR,4,FLORIDA STATE,1.0
ERIC EDWARDS JR.,110H,2,1,0.921875,0.9870722433460076,0.958790923024552,0.014454907684535,0.9589953285057224,0.950221149289322,0.9675740145688724,0.958790923024552,0.9803625377643505,0.9314188588733868,0.0222484864411118,0.0289619325995456,0.0285714285714285,35,SR,4,LSU,0.9583333333333334
JOSHUA ZELLER,110H,3,1,0.9186128803963198,0.9840788476118272,0.9513569107177304,0.0175266246969397,0.9488304093567252,0.941944847605225,0.9643387815750372,0.9513569107177304,0.969380134428678,0.9212272269280898,0.0187669871380794,0.0321797917475891,0.0454545454545454,22,JR,3,MICHIGAN,0.9166666666666666
GIANO ROBERTS,110H,4,1,0.9115168539325844,0.9679343773303504,0.9430131360993826,0.0170458457411722,0.941261783901378,0.930466427957723,0.9568775589836562,0.9430131360993826,0.9657738095238096,0.9175533134804,0.0238483121195026,0.0273678186820286,0.0416666666666666,24,JR,3,CLEMSON,0.875
LAFRANZ CAMPBELL,110H,5,1,0.8817934782608695,0.9650557620817845,0.9342678165962084,0.0190787568779405,0.9371841155234658,0.9264810849393292,0.9460646425302396,0.9342678165962084,0.9629080118694362,0.890510526302774,0.0301924522160823,0.0479590197502215,0.0714285714285714,42,SR,4,CLEMSON,0.8333333333333334
KENTRE PATTERSON,110H,6,1,0.9147286821705428,0.969380134428678,0.9461424094851714,0.0147508833617396,0.9495245062179956,0.9338134329555576,0.9537110218536756,0.9461424094851716,0.9607698001480386,0.9254446016020252,0.0153414410888696,0.0221179221276205,0.0625,16,SR,4,OHIO STATE,0.7916666666666666
JUSTIN LEASTON,110H,7,1,0.88,0.9643387815750372,0.9316312341481804,0.0253100812632085,0.9351585014409222,0.9140845070422536,0.9551140544518028,0.9316312341481804,0.9586410635155096,0.8925957940952101,0.0285777127461609,0.0427966908160097,0.0555555555555555,18,SO,2,CHARLOTTE,0.75
OMOTADE OJORA,110H,8,1,0.8320512820512821,0.9629080118694362,0.9384616525722652,0.0232246022680187,0.943313953488372,0.9297994269340972,0.9537105069801616,0.9384616525722652,0.9614814814814816,0.8829522149910499,0.0242321241058419,0.0609520313529572,0.0,37,SR,4,USC,0.7083333333333333
JAHEEM HAYLES,110H,9,0,0.9199149539333806,0.9657738095238096,0.9496157415653674,0.0126049336732599,0.9558173784977908,0.9450310680826206,0.9565217391304348,0.9496157415653674,0.9565217391304348,0.9341544235778024,0.0072460644995516,0.0164152912851656,0.0,11,SO,2,SYRACUSE,0.6666666666666667
TRE'BIEN GILBERT,110H,10,0,0.9057920446615492,0.969380134428678,0.9402098640934836,0.0187557321015824,0.9460641399416908,0.9245018935022308,0.954061135843022,0.9402098640934834,0.9629080118694362,0.9102662799954552,0.0238536436052004,0.0323631128060507,0.0357142857142857,28,JR,3,ARKANSAS,0.625
RASHEEM BROWN,110H,11,0,0.849476439790576,0.9593495934959352,0.937158005366592,0.0239029291198493,0.9440004993060492,0.9306328196109286,0.9528354788769268,0.937158005366592,0.9551140544518028,0.8929806604271446,0.0189782954222071,0.048277593130122,0.0833333333333333,24,SR,4,N. CAROLINA A&T,0.5833333333333333
JOSH BROCKMAN,110H,12,0,0.9192634560906516,0.9544117647058824,0.9352445811277056,0.0113442839031799,0.9307996894010686,0.9276398958439702,0.9443467789848924,0.9352445811277056,0.9516129032258064,0.9225367236546608,0.0173498234327,0.0136806818330356,0.0,16,JR,3,NC STATE,0.5416666666666667
