name,event,place,all_american,min,max,mean,std,median,q1,q3,mean_three_recent,mean_three_best,mean_three_worst,percent_diff_recent_best,percent_diff_recent_worst,no_mark_rate,count,grade,year,school,score
JOSEPH MANU,100,21,0,0.9160447761194028,0.9722772277227724,0.946481160730014,0.0156281003137087,0.9451395572666024,0.9397129186602872,0.9561830574488804,0.946481160730014,0.9684418145956608,0.9189113720974218,0.0229363312766268,0.0295592355468515,0.0384615384615384,26,SR,4,COPPIN STATE,0.16666666666666663
BRENDON STEWART,100,22,0,0.9238005644402634,0.9665354330708662,0.9463952518369684,0.0107774525994443,0.948792270531401,0.9406130268199234,0.9543245869776484,0.9463952518369684,0.9561830574488804,0.9275964193400508,0.010288991064537,0.0200628773180303,0.0,20,SR,4,USC,0.125
MICAIAH HARRIS,100,23,0,0.9334600760456274,0.9889224572004028,0.9577609867282768,0.0147244040064923,0.9552529182879378,0.9478799804712976,0.9679703926529628,0.9577609867282768,0.9713155291790307,0.9388305096563992,0.014052882131924,0.0199626299157864,0.0,15,SR,4,TEXAS,0.08333333333333337
DEVON ACHANE,100,24,0,0.9370229007633588,0.9800399201596808,0.9609326859782008,0.0117364522111998,0.9608610567514676,0.955256533999508,0.9684418145956608,0.9609326859782008,0.9703557312252964,0.9439656718485524,0.0097582993437514,0.0178140886729574,0.0,15,SO,2,TEXAS A&M,0.04166666666666663
JOSEPH FAHNBULLEH,200,1,1,0.9470899470899472,0.9929399899142716,0.9762454446060682,0.0124298052879849,0.9788720332762416,0.9679342007541344,0.9861080123162506,0.9762454446060682,0.988950276243094,0.956179935138082,0.0129298384911361,0.0207671765009037,0.0,18,SO,2,FLORIDA,1.0
MATTHEW BOLING,200,2,1,0.9493731918997108,0.988453815261044,0.968610670944021,0.0095796728654696,0.9697119524221852,0.9620140251200746,0.9728260869565218,0.9686106709440212,0.981555333998006,0.9510569977914252,0.0132754473426171,0.0182882416977507,0.037037037037037,27,SO,2,GEORGIA,0.9583333333333334
UDODI ONWUZURIKE,200,3,1,0.9358365019011408,0.980577689243028,0.9640571030247992,0.0171723467045157,0.96948468233989,0.9519353284853004,0.9778993613472726,0.9640571030247992,0.9781420765027324,0.9410851652431246,0.0145041493441053,0.0241157189825615,0.0909090909090909,11,FR,1,STANFORD,0.9166666666666666
MICAIAH HARRIS,200,4,1,0.9261523988711194,0.998478701825558,0.958789559065273,0.0167715166974711,0.96142578125,0.9439117929050816,0.9709072978303748,0.9587895590652727,0.9800895968143356,0.9292186526466208,0.021971495938229,0.0313249764860285,0.0263157894736842,38,SR,4,TEXAS,0.875
TARSIS OROGOT,200,5,1,0.9205236091631605,0.9771712158808934,0.9539656884040606,0.0195763088140842,0.9586173320350536,0.9449327545919692,0.967332754399447,0.9539656884040608,0.968996062992126,0.9256147075785728,0.0156325257922081,0.030167351059933,0.0,11,FR,1,ALABAMA,0.8333333333333334
SHAUN MASWANGANYI,200,6,1,0.9287735849056604,0.987957852483693,0.96044545139657,0.0167503876161427,0.9600195026816188,0.9464229111488568,0.9735505051468112,0.96044545139657,0.9776564051638532,0.93556608922425,0.0177606287399442,0.0262438931823943,0.0,19,SO,2,HOUSTON,0.7916666666666666
ROBERT GREGORY,200,7,1,0.9057037718491262,0.9845,0.95456762111436,0.016169456598255,0.9579178382421164,0.9475457170356112,0.9635431141718626,0.95456762111436,0.9680432645034416,0.9231437955171844,0.0140180662555141,0.0334703462085214,0.0,24,SO,2,TCU,0.75
