name,all_american,event,place
DARIUS LUFF,0,110H,17
QUIVELL JORDAN-BACOT,0,110H,18
JOHNNY BRACKINS,0,110H,19
ELIJAH MORRIS,0,110H,20
CAMERON MURRAY,0,110H,21
GRATT REED,0,110H,22
MATTHEW LEWIS-BANKS,0,110H,23
DE' VION WILSON,0,110H,24
SEAN BURRELL,1,400H,1
MALIK METIVIER,1,400H,2
ISAIAH LEVINGSTON,1,400H,3
NATHANIEL EZEKIEL,1,400H,4
QUIVELL JORDAN-BACOT,1,400H,5
DRAKE SCHNEIDER,1,400H,6
COLTEN YARDLEY,1,400H,7
JAMES SMITH,1,400H,8
RIVALDO LEACOCK,0,400H,9
CORDE LONG,0,400H,10
CALEB CAVANAUGH,0,400H,11
WILLIAM SPENCER JR,0,400H,12
CASS ELLIOTT,0,400H,13
BRYCE ANTHONY,0,400H,14
JULIEN GILLUM,0,400H,15
JUSTIN YOUNG,0,400H,16
MOITALEL MPOKE,0,400H,17
RASHEEME GRIFFITH,0,400H,18
AVEON REID,0,400H,19
JAMESON WOODELL,0,400H,20
KENROY WILLIAMS,0,400H,21
CHARLES BROCKMAN III,0,400H,22
CALEB DEAN,0,400H,
AHMED JAZIRI,1,3000S,1
DUNCAN HAMILTON,1,3000S,2
PARKER STOKES,1,3000S,3
RYAN SMEETON,1,3000S,4
ED TRIPPAS,1,3000S,5
KENNETH ROOKS,1,3000S,6
ALEC BASTEN,1,3000S,7
MATTHEW WILKINSON,1,3000S,8
BEN FLEMING,0,3000S,13
YASIN SADO,0,3000S,14
ALEXANDER KORCZYNSKI,0,3000S,15
CARSON WILLIAMS,0,3000S,16
ADAM BUNKER,0,3000S,17
AHMED KADRI,0,3000S,18
GARRETT MARSING,0,3000S,19
BENJAMIN NIBBELINK,0,3000S,20
CHRISTIAN HUBAKER,0,3000S,21
BRYCE LENTZ,0,3000S,22
TOM SEITZER,0,3000S,23
BEN GARNER,0,3000S,24
TEJASWIN SHANKAR,1,HJ,1
DARIUS CARBIN,1,HJ,2
DONTAVIOUS HILL,1,HJ,3
VERNON TURNER,1,HJ,4
MITCH JACOBSON,1,HJ,5
BRYSON DEBERRY,1,HJ,6
TREY ALLEN,1,HJ,7
ROBERTO VILCHES,1,HJ,8
"SHAUN MILLER, JR.",0,HJ,9
EARNIE SEARS III,0,HJ,10
CORVELL TODD,0,HJ,10
CALEB WILBORN,0,HJ,12
ROMAINE BECKFORD,0,HJ,13
OMAMUYOWI ERHIRE,0,HJ,14
MAYSON CONNER,0,HJ,15
JACKSON MARSEILLE,0,HJ,15
KYLE ALCINE,0,HJ,15
KENNEDY SAUDER,0,HJ,15
TONY JONES,0,HJ,19
JEFF HOLLIS,0,HJ,19
KASON O'RILEY,0,HJ,
CARTER BAJOIT,0,HJ,
JEREMY CODY,0,HJ,
ISAIAH HOLMES,0,HJ,
