all_american,min,max,mean,std,mean_three_recent,mean_three_best,mean_three_worst,percent_diff_recent_best,percent_diff_recent_worst,no_mark_rate,count,year
0,0.8794111716071787,0.9607843137254902,0.9200980172635744,0.0207422327766266,0.9200980172635744,0.9476314645806172,0.8807169295612863,0.0294833353381092,0.0437369622811311,0.0,0.4027777777777778,0.75
0,0.6963480285173869,0.8469372908482468,0.7749994803683149,0.0516199483077173,0.774999480368315,0.7935399388913138,0.7283088413599108,0.0236404113219547,0.0621171829272227,0.125,0.06944444444444445,0.25
0,0.7983193277310925,0.9201680672268908,0.8766315036652959,0.0228868887408241,0.8766315036652957,0.907563025210084,0.8277310924369748,0.0346728129071052,0.0573826383425122,0.0208333333333333,0.625,1.0
0,0.8366533864541832,0.9009675583380764,0.8821855435401252,0.0218858480613466,0.8821855435401252,0.8952760387023335,0.8656801365964713,0.0147294268331732,0.0188863562357538,0.0,0.05555555555555555,0.25
1,0.9319433161837712,0.9705771761609324,0.9545273382802816,0.0101456862868599,0.9545273382802816,0.9616280152742852,0.9417203005353808,0.0074113792295925,0.0135077692203744,0.0,0.125,0.75
0,0.8818454613653414,0.9655030800821356,0.9393036688376736,0.0204514764734496,0.9393036688376736,0.9627354627354628,0.9006208651187556,0.0246386033902565,0.0420482503548527,0.0,0.3055555555555556,1.0
0,0.5777777777777778,0.8014590347923681,0.7123456790123457,0.063029026948858,0.7123456790123458,0.7618406285072952,0.5893752338196783,0.0671488389798247,0.1889351918379078,0.0,0.2361111111111111,1.0
1,0.8666666666666667,0.9333333333333332,0.8958333333333334,0.0206847643719763,0.8958333333333334,0.925,0.8694444444444445,0.0320366132723111,0.029897718332022,0.1,0.2361111111111111,0.5
0,0.8516666666666667,0.905,0.8732051282051282,0.0171656086305764,0.8732051282051282,0.8866666666666667,0.8544444444444445,0.0152983171851097,0.0217181586563435,0.0714285714285714,0.1527777777777778,1.0
1,0.8529411764705882,0.9285714285714286,0.897358943577431,0.0233360001140591,0.897358943577431,0.9243697478991598,0.8557422969187675,0.0296540362438222,0.0474777448071216,0.0,0.3472222222222222,1.0
0,0.7666666666666666,0.9266666666666666,0.8824691358024692,0.0423592954166945,0.8824691358024691,0.925,0.7822222222222223,0.0470612342474641,0.120439038860872,0.0357142857142857,0.3472222222222222,0.75
0,0.937163037965172,0.9598830161814788,0.9481243080716218,0.0103743457160716,0.9481243080716218,0.9428663226928238,0.9407278092085232,0.0055610908835359,0.0078317394945129,0.0,0.027777777777777776,0.25
0,0.8948691280984573,0.966217480816021,0.9444999780863906,0.015844709497654,0.9444999780863906,0.957614542756446,0.9106662348705664,0.0137894585487357,0.0364751610713051,0.0666666666666666,0.375,1.0
0,0.9192634560906516,0.9544117647058824,0.9352445811277056,0.0113442839031799,0.9352445811277056,0.9516129032258064,0.9225367236546608,0.0173498234327,0.0136806818330356,0.0,0.18055555555555555,0.75
1,0.6986363636363636,0.924090909090909,0.8428439803439803,0.0529831822157406,0.8428439803439804,0.920909090909091,0.7145454545454545,0.0885215871058964,0.1647610070086733,0.0133333333333333,1.0,1.0
0,0.75,0.9083333333333332,0.8441428571428571,0.0406691807093589,0.8441428571428571,0.8916666666666666,0.7638888888888888,0.0547569406342587,0.0998163978441553,0.2222222222222222,0.5833333333333334,0.75
1,0.8445378151260504,0.9285714285714286,0.8957712117104907,0.0209359915875701,0.8957712117104906,0.9243697478991598,0.8571428571428571,0.0314245290043937,0.0440733008582695,0.03125,0.4027777777777778,0.5
1,0.8697478991596639,0.9663865546218487,0.921685340802988,0.0183876161980515,0.921685340802988,0.9453781512605044,0.8837535014005602,0.0253797587047571,0.0420195229168014,0.0769230769230769,0.5,1.0
0,0.8018332605848973,0.8517386876182161,0.8277830556054809,0.0127166202419172,0.8277830556054809,0.8441728502837189,0.8128910228430088,0.0196055345963461,0.0181535540276893,0.0555555555555555,0.20833333333333334,0.5
0,0.9218164794007492,0.96142578125,0.9513879794013964,0.013994392270243,0.9513879794013964,0.9586173320350536,0.9403446953550548,0.0075699817067211,0.0116753114155131,0.0,0.05555555555555555,0.25
1,0.786786557951688,0.9831460674157304,0.9107984290284372,0.0474008685011762,0.9107984290284372,0.974608268831414,0.8121038183445429,0.0676881437574271,0.114567858779429,0.0,0.4305555555555556,0.75
0,0.8013659647125783,0.9271485486624929,0.8820879746320839,0.0254803674644251,0.8820879746320839,0.9100739897552648,0.828495541642952,0.0312315691096008,0.062659826286453,0.0277777777777777,0.4583333333333333,1.0
0,0.7940503432494279,0.911899313501144,0.8674675819984744,0.0399277089274393,0.8674675819984743,0.8993135011441648,0.8066361556064073,0.0360496492174853,0.072673425219273,0.0,0.125,1.0
0,0.8317707411993632,0.9437976716178242,0.8821707803760762,0.0338951866624437,0.8821707803760762,0.930720506730008,0.8429212467250066,0.0535605490513792,0.0455042780726616,0.0,0.16666666666666666,1.0
1,0.9108872530027122,0.9826541274817138,0.942175966593352,0.0203738532048051,0.9421759665933522,0.962341383544822,0.9117119434042542,0.021176406662829,0.0328650109047179,0.0,0.20833333333333334,0.5
0,0.8809123703255585,0.9962245027239328,0.9530947883501604,0.0323525606461175,0.9530947883501604,0.9731321856861752,0.9026811494960166,0.0208048143921762,0.0543316009503325,0.0,0.1527777777777778,1.0
1,0.8792952636012181,0.981881654949534,0.9476366545159228,0.0296208199374332,0.9476366545159228,0.9589054808394376,0.918697231825042,0.0118212192791788,0.0310120529908158,0.0,0.08333333333333333,1.0
